DebtLevel,leads,good_rate,closed_rate
70001-90000,131,0.19083969465648856,0.13740458015267176
10001-15000,291,0.18556701030927836,0.11683848797250859
20001-30000,456,0.15789473684210525,0.08771929824561403
50001-70000,245,0.15510204081632653,0.08979591836734693
15001-20000,408,0.13970588235294118,0.0857843137254902
30001-50000,496,0.12298387096774194,0.07862903225806452
90000-100000,90,0.12222222222222222,0.1
7500-15000,271,0.11439114391143912,0.07011070110701106
7500-10000,442,0.07013574660633484,0.049773755656108594
More_than_100000,191,0.06806282722513089,0.03664921465968586
