WidgetName,Partner,leads,good_rate
w-302252-DebtReduction1-1DC-yellowarrow,google,21,0.2857142857142857
w-302252-DebtReduction1-1DC-yellowarrow-blue,AdKnowledge,12,0.25
w-302252-DebtReduction1-1DC-yellowarrow,yahoo,16,0.25
w-300250-DebtReduction1-1DC-CreditSolutions,google,24,0.25
w-300250-DebtReduction1-1DC-CreditSolutions,yahoo,35,0.22857142857142856
w-302252-DebtReduction1-1DC-CreditSolutions,AdKnowledge,53,0.20754716981132076
w-300250-DebtReduction1-1DC-BlueMeter,google,29,0.20689655172413793
w-300250-DebtReduction1-1DC-Head2,google,21,0.19047619047619047
w-300250-DebtReduction1-1DC-Head2,AdKnowledge,11,0.18181818181818182
w-300250-DebtReduction1-1DC,Call_Center,257,0.16731517509727625
w-302252-DebtReduction1-1DC,AdKnowledge,24,0.16666666666666666
w-300250-DebtReduction1-2DC-BlueMeter,google,36,0.16666666666666666
w-302252-DebtReduction1-1DC-CreditSolutions,yahoo,344,0.16279069767441862
w-300250-DebtReduction1-1DC-Head2,yahoo,37,0.16216216216216217
w-300250-DebtReduction1-1DC-CreditSolutions,Google,13,0.15384615384615385
w-302252-DebtReduction1-1DC-yellowarrow-dark,google,52,0.15384615384615385
w-300250-DebtReduction1-1DC-BlueMeter,yahoo,33,0.15151515151515152
w-302252-DebtReduction1-1DC-yellowarrow-blue,google,84,0.14285714285714285
w-302252-DebtReduction1-1DC-CreditSolutions,google,388,0.13917525773195877
w-302252-DebtReduction1-1DC,yahoo,109,0.13761467889908258
w-302252-DebtReduction1-1DC-yellowarrow-blue,yahoo,62,0.12903225806451613
w-302252-DebtReduction1-1DC,google,71,0.1267605633802817
w-300250-DebtReduction1-1DC-Head2,Google,16,0.125
w-300250-DebtReduction1-2DC-CreditSolutions,yahoo,33,0.12121212121212122
w-300250-DebtReduction1-1DC,yahoo,42,0.11904761904761904
w-300250-DebtReduction1-1DC-Head3,yahoo,36,0.1111111111111111
w-302252-DebtReduction1-1DC-yellowarrow,Google,9,0.1111111111111111
w-302252-DebtReduction1-1DC-yellowarrow-dark,yahoo,45,0.1111111111111111
w-300250-DebtReduction1-1DC,google,36,0.1111111111111111
w-302252-DebtReduction1-1DC-white,google,164,0.10975609756097561
w-302252-DebtReduction1-1DC-yellowarrow-blue,Google,74,0.10810810810810811
w-302252-DebtReduction1-1DC-white,Google,105,0.10476190476190476
w-302252-DebtReduction1-1DC-white,yahoo,136,0.10294117647058823
w-300250-DebtReduction1-1DC-Head3,Google,11,0.09090909090909091
w-300250-DebtReduction1-2DC-BlueMeter,Google,14,0.07142857142857142
w-300250-DebtReduction1-2DC-BlueMeter,yahoo,29,0.06896551724137931
w-300250-DebtReduction1-2DC-CreditSolutions,google,30,0.06666666666666667
w-300250-DebtReduction1-1DC-BlueMeter,Google,16,0.0625
w-302252-DebtReduction1-1DC,Google,67,0.05970149253731343
w-302252-DebtReduction1-1DC-white,AdKnowledge,25,0.04
w-302252-DebtReduction1-1DC-CreditSolutions,Google,267,0.033707865168539325
w-302252-DebtReduction1-1DC-yellowarrow-dark,Google,32,0.03125
w-300250-DebtReduction1-1DC-Head3,google,21,0.0
